SHI,N,P,K,pH,Crop,Urea (kg/ha),TSP (kg/ha),MoP (kg/ha)
75,15.7,4.79,44.32,6.2,Aus rice,108.0,75.0,47.0
83,15.11,10.23,33.18,7.43,Aus rice,92.6,57.8,17.0
77,13.22,6.9,22.37,6.6,Aman rice,107.1,49.3,39.1
71,19.0,8.6,43.73,5.12,Aus rice,87.0,44.0,51.0
88,16.0,7.86,27.47,7.5,Aus rice,112.2,32.3,26.3
46,15.84,7.43,43.41,7.87,Aus rice,163.2,61.2,57.6
32,6.39,10.45,56.42,6.05,Aus rice,126.0,48.0,43.2
90,9.73,11.42,51.37,5.8,Aus rice,87.5,34.0,28.1
69,12.84,4.57,42.97,6.87,Boro rice,113.0,61.0,51.0
31,18.14,3.22,26.28,7.35,Aus rice,85.2,93.6,24.0
30,6.07,3.56,51.72,7.57,Aman rice,147.6,91.2,54.0
49,16.23,3.7,25.45,6.39,Aus rice,114.0,81.6,63.6
65,6.27,8.32,34.43,5.9,Boro rice,82.0,31.0,27.0
32,11.68,14.2,28.5,5.54,Aman rice,160.8,38.4,62.4
88,17.15,3.97,52.01,5.81,Boro rice,68.8,59.5,22.1
33,7.73,10.63,45.38,4.99,Aus rice,139.2,66.0,32.4
86,6.68,10.91,30.51,7.89,Boro rice,73.1,33.1,30.6
76,14.97,13.25,44.02,5.27,Aman rice,101.1,33.1,20.4
60,8.76,4.92,32.86,4.92,Boro rice,139.0,47.0,49.0
72,8.65,11.45,24.96,5.23,Aman rice,139.0,57.0,39.0
53,8.89,9.37,31.71,5.12,Aman rice,103.0,50.0,47.0
36,19.87,14.96,54.39,5.84,Boro rice,103.2,58.8,32.4
52,10.83,4.02,33.76,5.94,Aman rice,89.0,61.0,29.0
60,10.24,4.24,53.79,5.87,Boro rice,98.0,73.0,43.0
51,9.48,13.14,45.19,5.71,Aus rice,83.0,32.0,51.0
36,18.09,5.74,44.55,5.09,Boro rice,121.2,87.6,27.6
56,11.04,6.38,42.27,6.32,Aus rice,119.0,47.0,38.0
86,10.85,8.54,51.14,7.48,Aman rice,118.1,55.2,31.4
81,17.16,4.44,36.79,5.84,Aman rice,113.9,25.5,34.9
32,15.44,3.07,55.93,6.61,Boro rice,142.8,38.4,69.6
54,8.33,14.01,53.1,7.56,Aman rice,131.0,49.0,50.0
86,8.58,11.33,33.33,5.72,Boro rice,76.5,59.5,49.3
68,9.65,11.3,57.32,6.19,Aman rice,116.0,36.0,34.0
89,7.29,10.85,50.46,5.5,Aman rice,91.8,62.9,50.1
75,19.29,5.81,44.65,7.28,Aus rice,79.0,70.0,50.0
71,11.15,14.97,34.02,4.84,Aman rice,105.0,63.0,21.0
38,5.17,6.09,24.48,5.22,Aman rice,130.8,52.8,49.2
37,11.79,10.34,57.09,7.86,Aus rice,99.6,44.4,49.2
30,11.37,4.77,24.81,4.81,Aus rice,159.6,96.0,30.0
70,9.42,8.59,58.87,5.28,Boro rice,131.0,37.0,27.0
47,16.21,14.45,22.54,5.56,Boro rice,117.6,56.4,52.8
48,19.09,3.81,42.66,6.04,Aus rice,87.6,39.6,67.2
73,19.78,14.27,39.98,5.04,Boro rice,139.0,74.0,49.0
56,7.36,8.72,44.73,7.54,Aman rice,84.0,68.0,34.0
73,15.29,12.35,23.14,6.89,Aman rice,132.0,72.0,58.0
41,9.84,6.95,26.56,4.52,Aus rice,90.0,48.0,43.2
71,7.43,12.96,57.84,5.86,Aman rice,91.0,43.0,38.0
